Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
CAPA,Palo Alto,37.4064,-122.1559,11483,46.4899,,
CAPV,Peace Valley,39.1982,-121.8219,10094,92.1826,,
CAHF,Hayward-Fremont,37.6068,-122.0667,9135,49.6467,,
CALS,Los Baños,37.0612,-120.8849,7748,78.1837,,
CALN,Lancaster,34.7043,-118.0860,3714,62.9492,,
CATO,Thousand Oaks,34.1489,-118.9699,3627,44.2317,,
CA1B,China Lake,35.6167,-117.6667,3400,87.1795,,
LACR,Creole,29.8159,-93.1113,3113,53.6724,,
CABE,Benicia,38.1143,-122.1094,2859,23.5115,,
CACC,Contra Costa County,37.9538,-121.9923,2183,13.9936,,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,1888,30.9508,,
TXAU,Austin,30.1834,-97.6980,1799,3.1369,,
CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,1703,16.1422,,
NCBP,Bodie-Pea Island,35.7824,-75.5458,1600,17.7778,,
TXFR,Freeport,29.0172,-95.3551,1544,4.5146,,
ORKF,Klamath Falls,42.1595,-121.7351,1348,30.6364,,
LA0K,Sabine N.W.R.,29.8000,-93.4500,1313,4.2110,,
TXMI,Midland,31.9500,-102.0333,1277,25.0392,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,1187,8.1581,,
TX14,Laguna Atascosa N.W.R.,26.2333,-97.3833,1158,18.9836,,
TXCY,Cypress Creek,29.9561,-95.8900,1151,16.6812,,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,1110,74.0000,,
CAOC,Orange County (coastal),33.6725,-117.9453,1090,4.6781,,
CAOA,Oakland,37.8146,-122.2330,1079,3.3509,,
CASS,Salton Sea (south),33.1579,-115.6132,1050,22.3404,,
AR07,Pine Bluff,34.2167,-92.0000,1001,13.3467,,
ORSI,Sauvie Island,45.7562,-122.8008,994,10.1949,,
CACB,Centerville Beach to King Salmon,40.6420,-124.2428,958,5.7365,,
CARS,Rancho Santa Fe,33.0003,-117.1628,860,7.4138,,
LAJB,Johnsons Bayou,29.8010,-93.7149,844,8.3153,,
AZRC,Ramsey Canyon,31.4599,-110.2068,819,8.3147,,
FLHC,Hamilton County,30.3360,-82.7595,720,16.5517,,
NJOC,Oceanville,39.4422,-74.4605,710,6.6981,,
CASJ,San Jose,37.4033,-121.8821,664,2.2779,,
CAMD,Moss Landing,36.8970,-121.7407,630,3.5593,,
MSWC,Washington County (south),33.0970,-90.9857,625,10.4167,,
TXST,San Antonio,29.3148,-98.6080,615,2.5572,,
CASA,Santa Ana River Valley,33.9068,-117.4889,605,8.6429,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,599,4.3094,,
CA2K,Arroyo Cheap Thrills,38.1333,-122.6167,557,6.0216,,
TXBP,Bolivar Peninsula,29.5504,-94.4668,548,7.5068,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,465,6.0390,,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,420,3.7168,,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,386,2.6438,,
TXDA,Dallas County,32.8258,-96.8312,379,1.8134,,
NMRO,Roswell,33.3970,-104.3983,379,6.2541,,
AZTV,Tucson Valley,32.3016,-110.9735,358,1.4494,,
CASB,Santa Barbara,34.4512,-119.7627,357,1.2226,,
TX1E,Padre Island National Seashore,27.3333,-97.3333,331,6.3654,,
TXCC,Corpus Christi,27.8334,-97.5833,329,4.4459,,
TX0M,Lubbock County,33.5500,-101.7500,328,16.4000,,
WATA,Tacoma,47.2335,-122.5167,301,2.7665,,
MSHA,Hattiesburg,31.3073,-89.3166,300,5.4054,,
FLTA,Tampa,28.0107,-82.4595,286,2.6239,,
NYQU,L.I.: Queens,40.6932,-73.7448,260,2.4528,,
OREU,Eugene,44.0768,-123.1790,259,1.3560,,
CA23,Caswell-Westley,37.6333,-121.2000,242,6.3684,,
ORSA,Salem,44.9437,-123.0388,242,1.3908,,
CACS,Crystal Springs,37.5184,-122.3751,235,0.9514,,
TXGA,Galveston,29.3333,-94.8333,225,1.3554,,
CABB,Big Bear Lake,34.2833,-116.9000,225,3.4091,,
NVTM,Truckee Meadows,39.4679,-119.8205,222,3.8276,,
WATC,Tri-Cities,46.2357,-119.1805,221,3.8772,,
CASL,San Jacinto Lake,33.8745,-117.1239,217,2.5529,,
CAST,Stockton,38.1160,-121.3954,216,3.0423,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,215,2.3243,,
TX2Y,Lake Livingston (upper),30.8667,-95.3167,202,10.6316,,
TXLS,La Sal Vieja,26.4849,-97.9649,179,4.9722,,
CACL,Clear Lake,38.9392,-122.7199,177,2.3289,,
NYBR,L.I.: Brooklyn,40.6160,-73.9448,167,1.7216,,
TXHO,Houston,29.7497,-94.9492,160,0.5405,,
TXKI,Kingsville,27.4658,-97.8551,156,2.0996,,
ALMT,Mobile-Tensaw Delta,30.7500,-87.9500,152,3.0400,,
WASE,Seattle,47.6017,-122.3341,147,1.1484,,
NYBW,Bronx-Westchester Region,40.9117,-73.7825,147,0.7171,,
CAMC,Marin County (southern),37.9214,-122.5643,146,0.5252,,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,142,1.6905,,
TXFW,Fort Worth,32.7661,-97.4715,140,1.4568,,
VABB,Back Bay N.W.R.,36.6500,-76.0000,139,1.1880,,
WAKA,Kent-Auburn,47.3598,-122.1787,138,1.6429,,
UTSL,Salt Lake City,40.7695,-111.8884,136,1.7000,,
TXLV,Lewisville,33.0301,-96.9929,125,2.7778,,
CAGM,Grass Mountain,34.6333,-118.4167,121,11.0000,,
AZEL,Elfrida,31.6667,-109.6833,118,0.6782,,
ORME,Medford,42.4026,-122.8559,114,0.9344,,
PAGL,Delaware County (Glenolden),39.8992,-75.3729,113,0.5539,,
CASD,San Diego,32.6473,-117.1170,113,0.8726,,
CAMR,Morro Bay,35.3000,-120.7767,111,0.4476,,
TXRU,Ruidosa,29.9500,-104.6667,108,9.0000,,
LA0P,New Orleans,29.9667,-89.9833,105,0.9013,,
SCCA,Charleston,32.9333,-79.7000,105,1.5328,,
CA2L,Point Reyes Peninsula,38.1333,-122.8833,102,0.3333,,
CAOR,Oroville,39.5178,-121.5499,100,1.5152,,
TXEP,El Paso,31.7828,-106.4798,98,1.4412,,
CADN,Del Norte County,41.8446,-124.1712,91,1.1742,,
ORPD,Portland,45.5167,-122.7000,91,0.5987,,
CASM,Sacramento,38.6000,-121.5500,89,0.4325,,
NMFA,Farmington,36.7833,-108.1020,80,2.2222,,
BCLA,Ladner,49.0538,-123.0573,79,0.4270,,
BCVA,Vancouver,49.2603,-123.1050,79,0.1980,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,76,1.5050,,
TNRL,Reelfoot Lake,36.4167,-89.3833,75,1.2500,,
ORCO,Corvallis,44.5071,-123.2695,74,0.7115,,
TXNA,Nacogdoches,31.5332,-94.6563,70,0.9091,,
FLJA,Jacksonville,30.4152,-81.4877,70,0.5932,,
ORDA,Dallas,44.8965,-123.3384,70,0.8187,,
NCMA,Mattamuskeet N.W.R.,35.4500,-76.1333,69,0.8118,,
ORFL,Florence,44.0334,-124.0667,66,0.7765,,
NMLO,Loving,32.2910,-104.0667,66,1.2692,,
OR0H,Forest Grove,45.4667,-123.1333,66,2.0625,,
UTPR,Provo,40.2526,-111.6688,65,0.5556,,
AZPR,Prescott,34.5419,-112.4701,64,1.7778,,
CA0Z,Ventura,34.3500,-119.2500,63,0.5478,,
NY2R,Lower Hudson,40.7667,-73.9833,60,0.3015,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,60,1.5385,,
COBO,Boulder,40.0256,-105.2725,60,0.2335,,
AL0E,Guntersville,34.3833,-86.2833,59,1.8730,,
CAPS,Pasadena-San Gabriel Valley,34.1199,-118.0913,58,0.5000,,
ORTB,Tillamook Bay,45.5167,-123.8833,58,0.8657,,
TXAB,Abilene,32.3501,-99.7502,57,0.7703,,
CA2F,Mount Shasta,41.4667,-122.3500,53,0.7039,,
WA0M,Everett,48.1500,-122.2333,52,1.6774,,
BCVI,Victoria,48.4667,-123.4000,51,0.1835,,
AZ11,Nogales,31.3833,-110.9167,51,0.8500,,
FLLA,Lakeland,28.0261,-81.8507,50,0.4425,,
CAMA,Marysville,39.2000,-121.5000,50,5.0000,,
ILHL,Horseshoe Lake,37.2089,-89.3311,49,0.6533,,
IDHV,Hagerman Valley,42.8167,-114.9000,48,2.6667,,
AR0M,Jonesboro,35.8333,-90.7667,48,0.9412,,
CASR,Santa Rosa,38.4379,-122.7116,48,0.3232,,
CAAG,Angwin,38.5715,-122.3977,47,0.4393,,
HIWO,O'ahu: Waipi'o,21.4618,-158.0128,46,0.9388,,
NYCA,L.I.: Captree,40.7038,-73.2493,45,0.3169,,
AZ0L,Phoenix,33.4833,-112.2500,45,0.2493,,
NYNN,L.I.: Northern Nassau County,40.8660,-73.5938,45,0.2290,,
NVHE,Henderson,36.0833,-114.9500,43,1.2286,,
WIMA,Madison,43.0747,-89.3843,43,0.1911,,
OKTU,Tulsa,36.3221,-95.9022,43,0.3927,,
BCDU,Duncan,48.7882,-123.6714,42,0.7119,,
ORGP,Grants Pass,42.4186,-123.3669,42,0.5915,,
VAWP,Wachapreague,37.6707,-75.6998,41,0.8542,,
LAPP,Pine Prairie,30.7643,-92.3765,41,0.6949,,
NJHR,Hackensack-Ridgewood,40.9351,-74.0292,40,0.3721,,
NYSM,L.I.: Smithtown,40.9133,-73.1386,40,0.5755,,
AZSC,Santa Catalina Mountains,32.3353,-110.7295,40,0.3670,,
TXBA,Balmorhea,30.9858,-103.7459,40,1.2500,,
COFC,Fort Collins,40.6454,-105.1141,40,0.4598,,
ILUC,Union County,37.4676,-89.4048,39,0.6500,,
WAPB,Padilla Bay,48.4834,-122.5667,39,0.4180,,
FLSM,St. Marks,30.1536,-84.2227,38,0.4578,,
UTOG,Ogden,41.2198,-112.0640,37,0.7708,,
TXHU,Huntsville,30.7156,-95.5520,37,0.9867,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,37,0.7708,,
CAAN,Año Nuevo,37.2147,-122.3182,37,0.2587,,
WAOL,Olympia,47.0722,-122.8533,36,0.3429,,
FLMR,Myakka River S.P.,27.2330,-82.2360,33,0.4583,,
AZPC,Parker-Colorado River,34.0833,-114.3833,33,0.4681,,
MDLK,Lower Kent County,39.1427,-76.1921,32,0.2261,,
FLCO,Cocoa,28.3622,-80.7026,31,0.2138,,
NJRA,Ramsey,41.0935,-74.2541,31,0.2870,,
TXOR,Old River,29.8776,-94.7263,31,0.5636,,
CA1T,Hollister,36.8167,-121.3833,30,0.5455,,
PALZ,Lititz,40.2261,-76.3024,30,0.2740,,
TXVI,Victoria,28.8723,-97.0784,30,0.6122,,
NVRL,Ruby Lake,40.2000,-115.5000,30,1.6216,,
CATL,Tule Lake,41.9465,-121.5390,30,0.8824,,
WASD,Sequim-Dungeness,48.1000,-123.0667,30,0.3158,,
MSGR,Grenada,33.8051,-89.7016,30,0.8108,,
AZMY,Martinez Lake-Yuma,32.8884,-114.4623,29,0.2762,,
CASF,San Francisco,37.7143,-122.4689,29,0.1847,,
NJMA,Marmora,39.2647,-74.6472,28,0.3373,,
NCPC,Pamlico County,35.1435,-76.6526,28,0.9655,,
TXPA,Port Aransas,27.8502,-97.1000,27,0.5347,,
CACO,Chico,39.7220,-121.8238,27,0.4779,,
LA0D,Venice,29.3000,-89.3833,26,0.5497,,
CAON,Orange County (northeastern),33.7145,-117.6776,25,0.1082,,
CA1G,Creighton Ranch Preserve,36.1167,-119.5333,25,0.3623,,
FLSP,St. Petersburg,27.7991,-82.6794,25,0.2083,,
MSJA,Jackson,32.4476,-90.0040,24,0.2743,,
ORCE,Columbia Estuary,46.2192,-123.9461,24,0.4615,,
CODE,Denver,39.5870,-105.1430,23,0.1001,,
CAWB,Wallace-Bellota,38.1167,-120.9833,23,0.2500,,
TX1G,Alice,27.7167,-98.1333,21,1.6154,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,21,0.3043,,
CAAA,Auburn,38.9758,-121.1438,21,0.3088,,
AZSJ,St. Johns,34.5333,-109.3833,21,0.4200,,
WAPT,Port Townsend,48.0500,-122.7333,21,0.3559,,
WAEA,East Lake Washington,47.5899,-121.9995,21,0.3750,,
BCNN,Nanaimo,49.1668,-123.9333,20,0.3390,,
NMLV,Las Vegas,35.5950,-105.2152,20,2.0000,,
TXSG,San Angelo,31.4439,-100.4823,20,0.4000,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,19,0.0696,,
OHOT,Ottawa N.W.R.,41.6114,-83.2006,19,0.5588,,
