Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
NYSN,L.I.: Southern Nassau County,40.6298,-73.5907,18,0.0874,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,18,0.5000,,
ILCO,Crab Orchard N.W.R.,37.7196,-89.0212,17,0.1581,,
AZJE,Jerome,34.7398,-112.1238,17,0.3632,,
UTFS,Fish Springs N.W.R.,39.8107,-113.3990,17,1.8889,,
SCSR,Savannah River Site,33.2000,-81.6167,16,0.3368,,
DERE,Rehoboth,38.6035,-75.1073,16,0.1951,,
CALL,Lost Lake-Fresno,36.9500,-119.7000,15,0.1829,,
AZ0Z,Kayenta,36.6500,-111.2667,15,0.8333,,
TNME,Memphis,35.1500,-89.9333,15,0.1172,,
TXBN,Burnet County,30.7514,-98.2750,15,0.2362,,
NJCM,Cape May,39.0123,-74.8778,14,0.0714,,
CASV,San Fernando Valley,34.2358,-118.5025,14,0.2373,,
AZAH,Atascosa Highlands,31.4701,-111.1728,14,0.2917,,
WABG,Bellingham,48.8112,-122.5629,14,0.0697,,
VALC,Little Creek,36.8508,-76.0994,13,0.1262,,
TX0N,Hagerman N.W.R.,33.7167,-96.7333,13,0.2857,,
UTSG,St. George,37.1500,-113.6000,13,0.2453,,
TXBS,Big Spring,32.2391,-101.4162,12,0.2791,,
OKOC,Oklahoma City,35.5368,-97.5834,12,0.1348,,
LA0Y,St. Tammany Parish,30.4333,-90.0833,12,0.1206,,
UTLO,Logan,41.7993,-111.8333,11,0.1392,,
MOMI,Mingo N.W.R.,36.9833,-90.2000,11,0.2115,,
TXPM,Palmetto S.P.,29.5833,-97.5833,11,0.1028,,
NJLB,Long Branch,40.2502,-74.0554,11,0.1053,,
CASG,Santa Maria-Guadalupe,34.8833,-120.5833,11,0.1618,,
NJLA,Lakehurst,40.0159,-74.1451,11,0.1528,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,10,0.2941,,
SCMC,McClellanville,33.1003,-79.4037,10,0.1653,,
LALA,Lafayette,30.1901,-92.1042,10,0.1818,,
ONHA,Hamilton,43.2679,-79.8852,10,0.0562,,
NYMK,L.I.: Montauk,41.0500,-72.0000,10,0.0538,,
NYRC,Rockland County,41.1480,-73.9895,10,0.0926,,
AZGR,Gila River,33.3071,-112.6833,10,0.1460,,
CASO,San Bernardino Valley,34.0852,-117.3010,10,0.1005,,
VACC,Cape Charles,37.1899,-75.9410,9,0.0457,,
WACC,Cowlitz-Columbia,46.1092,-122.9787,9,0.2222,,
TX2V,Davis Mountains,30.6833,-103.9000,9,0.3214,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,9,0.6429,,
TX0L,White River,33.5500,-101.1500,8,0.2963,,
CAPP,Palos Verdes Peninsula,33.7723,-118.3279,8,0.0798,,
NMZU,Zuni,35.0333,-108.8167,8,0.1524,,
TXPS,Palestine,31.7624,-95.7664,7,0.2593,,
VAHO,Hopewell,37.3670,-77.2842,7,0.0673,,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,7,0.1207,,
MSJC,Jackson County,30.4366,-88.7119,7,0.0795,,
SC08,Santee N.W.R.,33.4833,-80.3667,6,0.2727,,
MXMC,"Mexico City, Distrito Federal, Mexico",19.2333,-99.1833,6,0.2400,LC,
MO0F,Jackass Bend,39.2167,-94.2500,6,0.1290,,
TNHI,Hiwassee,35.3655,-84.9200,6,0.0789,,
MOMA,Maryville,40.3463,-94.9198,6,0.3158,,
TNCO,Columbia,35.5990,-87.1613,6,0.2400,,
NYQW,L.I.: Quogue-Watermill,40.8591,-72.4524,6,0.0968,,
DCDC,Washington,38.8674,-77.0685,6,0.0214,,
MSAL,Arkabutla Lake,34.7624,-90.1306,6,0.1579,,
NMCC,Carlsbad Caverns N.P.,32.1772,-104.5029,6,0.0571,,
WASJ,San Juan Islands Archipelago,48.5462,-123.0130,6,0.0638,,
CAWS,Western Sonoma County,38.3853,-123.0306,6,0.0288,,
KSWI,Wichita,37.6912,-97.3496,6,0.1111,,
ININ,Indianapolis,39.8694,-86.0389,6,0.1200,,
GAAU,Augusta,33.4393,-82.0239,6,0.1935,,
GABL,Bainbridge-Lake Seminole,30.8850,-84.6315,5,0.1064,,
COBL,Barr Lake,39.9721,-104.6955,5,0.1923,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,5,0.3125,,
WATO,Toppenish N.W.R.,46.3609,-120.4179,5,0.1613,,
FLFL,Fort Lauderdale,26.1360,-80.2191,5,0.0515,,
NJTU,Tuckerton,39.6000,-74.3500,5,0.1667,,
NMLC,Las Cruces,32.3000,-106.7167,5,0.1190,,
WA0H,Edmonds,47.8667,-122.2500,5,0.2439,,
NMCA,Caballo,32.9530,-107.3122,5,0.1190,,
CACM,Claremont,34.1384,-117.7073,5,0.0575,,
MOKC,Kansas City,38.9488,-94.4049,5,0.0442,,
CAMN,Manchester,39.0347,-123.6897,5,0.0820,,
MA2T,Newburyport,42.7167,-70.9000,5,0.0493,,
CAKA,Kaweah,36.3667,-119.0667,4,0.0849,,
ILPE,Peoria,40.6999,-89.6202,4,0.0501,,
ALGS,Gulf Shores,30.3167,-87.6333,4,0.0270,,
FLWP,West Palm Beach,26.5672,-80.1270,4,0.0308,,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,4,0.1127,,
OR04,Sod House,43.2000,-118.9167,4,0.1739,,
LAGI,Grand Isle,29.1996,-90.0458,4,0.0630,,
VTFE,Ferrisburg,44.1833,-73.3023,4,0.0303,,
ARLO,Lonoke,34.7490,-91.8957,4,0.0661,,
AZCV,Camp Verde,34.5873,-111.7545,4,0.0513,,
CAMU,Malibu,34.0822,-118.7045,4,0.0193,,
NCSP,Southern Pines,35.2167,-79.3167,4,0.0606,,
FLEC,Econlockhatchee,28.7094,-81.1467,4,0.0444,,
LABR,Baton Rouge,30.3661,-91.1194,4,0.0408,,
ILPM,Pere Marquette Park,38.9968,-90.6051,3,0.0517,,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,3,0.2500,,
PALV,Lehigh Valley,40.5479,-75.6059,3,0.0294,,
LATR,Tensas River N.W.R.,32.2833,-91.3667,3,0.0492,,
FLGA,Gainesville,29.6027,-82.3127,3,0.0201,,
FLDC,Dade County,25.8402,-80.1883,3,0.0313,,
NYSI,Staten Island,40.5833,-74.1500,3,0.0284,,
IDAF,American Falls Reservoir,42.9833,-112.7000,3,0.1364,,
MOSC,Loess Bluffs (formerly Squaw Creek) N.W.R.,40.0833,-95.2667,3,0.0750,,
ORMA,Malheur N.W.R.,42.8998,-118.8798,3,0.1071,,
BCCO,Comox,49.6726,-124.9287,3,0.0313,,
CARB,Red Bluff,40.2074,-122.2117,3,0.0545,,
BCCH,Chilliwack,49.1113,-121.9436,3,0.0448,,
GAGC,Glynn County,31.1128,-81.4261,3,0.0469,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,3,0.0263,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,3,0.0811,,
VA1W,Fort Belvoir,38.7000,-77.2000,3,0.0151,,
NC02,Southport-Bald Head-Oak Islands,33.9000,-78.0500,3,0.0632,,
NCDU,Durham,36.0868,-78.8907,3,0.0469,,
MDOC,Ocean City,38.3128,-75.2122,3,0.0140,,
GAMA,Macon,32.8321,-83.6663,3,0.0472,,
AZ16,Green Valley-Madera Canyon,31.8000,-110.9000,2,0.0140,,
ARME,Mena,34.5833,-94.2333,2,0.0323,,
TNNA,Nashville,36.0545,-86.9287,2,0.0163,,
NJGS,Great Swamp-Watchung Ridges,40.6983,-74.4017,2,0.0144,,
FLFP,Fort Pierce,27.4177,-80.3828,2,0.0278,,
RISK,South Kingstown,41.4295,-71.5588,2,0.0185,,
ONTI,Thousand Islands,44.3473,-75.9833,2,0.0370,,
NJPI,Pinelands,39.7701,-74.7391,2,0.0172,,
TX0T,Buffalo Lake N.W.R.,34.8667,-102.1333,2,0.2500,,
TXSN,Stanton,32.0833,-101.7000,2,0.0833,,
CAWO,Woodfords,38.7662,-119.8082,2,0.0513,,
MT05,Ninepipe N.W.R.,47.4333,-114.1000,2,0.0417,,
ARAR,Arkadelphia,34.1333,-93.0500,2,0.0225,,
TNBR,Buffalo River,35.3001,-87.4573,2,0.0337,,
ORCB,Coos Bay,43.3759,-124.2973,2,0.0227,,
WAKC,Kitsap County,47.6323,-122.6609,2,0.0296,,
NJBO,Boonton,40.8500,-74.3833,2,0.0112,,
TXAM,Amarillo,34.9851,-101.7021,2,0.1176,,
NJSA,Salem,39.6140,-75.4142,2,0.0226,,
ONIN,Ingersoll,42.9994,-80.9338,2,0.0323,,
MASP,Springfield,42.1294,-72.5089,2,0.0183,,
OKSC,Stephens County,34.5667,-97.7833,2,0.0444,,
SCLP,Litchfield-Pawleys Island,33.4908,-79.0904,2,0.0313,,
AZPA,Patagonia,31.4833,-110.6833,2,0.0222,,
TXWA,Waco,31.5194,-97.0451,2,0.0404,,
FLBO,Brooksville,28.5480,-82.3245,2,0.0253,,
TXDR,Del Rio,29.4651,-100.9585,2,0.0471,,
CASC,Santa Cruz County,37.0162,-122.0499,2,0.0157,,
ORYB,Yaquina Bay,44.5866,-124.0642,1,0.0253,,
CAML,Mono Lake,37.9561,-119.1201,1,0.0270,,
COPU,Pueblo,38.1753,-104.5196,1,0.0267,,
ARFA,Fayetteville,36.0566,-94.1719,1,0.0150,,
FLLK,Lower Keys-Key Deer N.W.R.,24.6667,-81.3500,1,0.0278,,
PEPE,Prince Edward Island N.P.,46.3817,-63.1325,1,0.0383,,
CTGS,Greenwich-Stamford,41.0826,-73.6138,1,0.0038,,
CAMH,Mount Hamilton,37.3719,-121.5228,1,0.0124,,
MIHA,Hartland,42.6305,-83.8364,1,0.0164,,
KYLO,Louisville,38.2929,-85.6284,1,0.0109,,
KSLC,Linn County,38.2833,-94.7500,1,0.0278,,
MAPL,Plymouth,41.8733,-70.6012,1,0.0143,,
UTKA,Kanab,37.0334,-112.5167,1,0.0172,,
AZSE,Sedona,34.8391,-111.8802,1,0.0100,,
BCSO,Sooke,48.3442,-123.6719,1,0.0189,,
CAKR,Kern River Valley,35.6625,-118.4588,1,0.0213,,
MAMA,Marshfield,42.0973,-70.6537,1,0.0161,,
MIAB,Anchor Bay,42.6273,-82.6647,1,0.0106,,
ILEL,Elsah,38.9547,-90.3610,1,0.0909,,
MT02,Missoula,46.8667,-114.0000,1,0.0169,,
NE0M,Grand Island,40.8500,-98.3667,1,0.0541,,
INNC,New Castle,39.9167,-85.3667,1,0.0242,,
CALH,Lake Henshaw,33.2112,-116.7255,1,0.0095,,
ILRO,Rockford,42.3667,-89.1667,1,0.0102,,
TXQU,Quitaque,34.4346,-101.0739,1,0.1111,,
KSMA,Manhattan,39.1833,-96.5667,1,0.0056,,
NMBL,Bluewater Lake,35.2579,-108.1027,1,0.0357,,
ORRS,Roseburg-Sutherlin,43.3177,-123.3473,1,0.0134,,
BCWR,White Rock,49.0674,-122.7167,1,0.0062,,
MDJB,Jug Bay,38.7532,-76.6415,1,0.0085,,
CAPC,Putah Creek,38.4810,-122.0306,1,0.0051,,
CTWE,Westport,41.1640,-73.3580,1,0.0053,,
PACH,Chambersburg,39.9000,-77.5834,1,0.0083,,
NMLA,Lakes Avalon-Brantley,32.5661,-104.2940,1,0.0455,,
KS1D,Pomona Reservoir,38.6833,-95.6833,1,0.0161,,
OKHR,Hulah Reservoir,36.9289,-96.0873,1,0.0147,,
IDNA,Nampa,43.5680,-116.6729,1,0.0333,,
ILCV,Collinsville,38.7081,-89.9588,1,0.0347,,
MOWS,Weldon Spring,38.7118,-90.6904,1,0.0171,,
ILCR,Calumet City-Sand Ridge,41.6155,-87.5395,1,0.0109,,
PASB,Southeastern Bradford County,41.7033,-76.2747,1,0.0270,,
ILWM,Western Mercer County,41.1702,-90.9198,1,0.0222,,
COLO,Longmont,40.1741,-105.1734,1,0.0088,,
NJBA,Barnegat,39.6667,-74.1667,1,0.0098,,
VAAC,Augusta County,38.2046,-78.9913,1,0.0110,,
TXPP,Palo Pinto,32.7578,-98.2933,1,0.0357,,
AZ0M,Lake Pleasant,33.8667,-112.2500,cw,0.0000,,
NCWS,Winston-Salem,36.0840,-80.3067,cw,0.0000,,
KSQU,Quivira N.W.R.,38.1500,-98.4833,cw,0.0000,,
QC0F,Lennoxville,45.3167,-71.9667,cw,0.0000,,
CT17,Litchfield Hills,41.7167,-73.2333,cw,0.0000,,
IN1C,Posey County,37.8833,-87.9500,cw,0.0000,,
BCMA,Greater Masset,54.0464,-132.1903,cw,0.0000,,
ONKT,Kitchener,43.4494,-80.4866,cw,0.0000,,
MDCM,Catoctin Mountain,39.6195,-77.4095,cw,0.0000,,
IDTF,Twin Falls,42.5565,-114.4635,cw,0.0000,,
KSJC,Junction City,39.0006,-96.8813,cw,0.0000,,
LARB,Reserve-Bonnet Carre Spillway,30.0867,-90.4711,cw,0.0000,,

