Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TXNA,Nacogdoches,31.5332,-94.6563,131,1.2018,,
CASV,San Fernando Valley,34.2358,-118.5025,130,2.0968,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,130,0.8525,,
CAGM,Grass Mountain,34.6333,-118.4167,125,2.8409,,
TXLV,Lewisville,33.0301,-96.9929,119,1.5803,,
NCMA,Mattamuskeet N.W.R.,35.4500,-76.1333,118,1.4937,,
TXFW,Fort Worth,32.7661,-97.4715,117,1.2676,,
FLHC,Hamilton County,30.3360,-82.7595,115,3.2857,,
MDBH,Baltimore Harbor,39.2661,-76.4911,115,1.0177,,
ILUC,Union County,37.4676,-89.4048,110,1.1340,,
ALMT,Mobile-Tensaw Delta,30.7500,-87.9500,109,2.0566,,
SCMC,McClellanville,33.1003,-79.4037,106,1.1648,,
TXLS,La Sal Vieja,26.4849,-97.9649,105,1.9091,,
CAON,Orange County (northeastern),33.7145,-117.6776,102,0.3926,,
NVTM,Truckee Meadows,39.4679,-119.8205,101,1.8773,,
TXLO,Lake O' the Pines,32.8001,-94.5947,101,3.3667,,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,97,1.1548,,
TXBS,Big Spring,32.2391,-101.4162,95,2.9688,,
TXSN,Stanton,32.0833,-101.7000,94,2.7647,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,94,1.1975,,
WABG,Bellingham,48.8112,-122.5629,93,0.5314,,
VABB,Back Bay N.W.R.,36.6500,-76.0000,90,0.8411,,
LATR,Tensas River N.W.R.,32.2833,-91.3667,87,0.9635,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,86,1.7269,,
BCVI,Victoria,48.4667,-123.4000,83,0.2781,,
MDLK,Lower Kent County,39.1427,-76.1921,82,0.9318,,
UTPR,Provo,40.2526,-111.6688,81,0.6923,,
CAWS,Western Sonoma County,38.3853,-123.0306,80,0.4299,,
AZEL,Elfrida,31.6667,-109.6833,79,0.4489,,
ARPB,Pine Bluff,34.2295,-92.0033,79,1.0972,,
UTLO,Logan,41.7993,-111.8333,78,0.8864,,
CADN,Del Norte County,41.8446,-124.1712,77,0.9006,,
ORGP,Grants Pass,42.4186,-123.3669,77,1.1032,,
TX09,Lake Thomas,32.5833,-101.1667,76,4.4706,,
TXQU,Quitaque,34.4346,-101.0739,75,3.2609,,
CA2F,Mount Shasta,41.4667,-122.3500,75,1.0446,,
NYBW,Bronx-Westchester Region,40.9117,-73.7825,75,0.3580,,
ORPD,Portland,45.5167,-122.7000,73,0.4056,,
LAPP,Pine Prairie,30.7643,-92.3765,73,1.7176,,
NCPC,Pamlico County,35.1435,-76.6526,70,3.1818,,
CALB,Long Beach-el Dorado,33.8533,-118.0908,70,0.7071,,
IDBO,Boise,43.6177,-116.1995,70,0.8974,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,69,0.8313,,
UTSL,Salt Lake City,40.7695,-111.8884,68,0.6918,,
CATO,Thousand Oaks,34.1489,-118.9699,68,0.7727,,
MOSC,Loess Bluffs (formerly Squaw Creek) N.W.R.,40.0833,-95.2667,67,1.6750,,
VA1W,Fort Belvoir,38.7000,-77.2000,67,0.2312,,
WIMA,Madison,43.0747,-89.3843,66,0.3000,,
NVHE,Henderson,36.0833,-114.9500,65,1.8571,,
TXPS,Palestine,31.7624,-95.7664,65,2.8261,,
NJCM,Cape May,39.0123,-74.8778,65,0.3495,,
ARLO,Lonoke,34.7490,-91.8957,64,0.9846,,
AL0E,Guntersville,34.3833,-86.2833,63,1.5556,,
UTJR,Jordan River,40.4526,-111.9135,63,1.1053,,
TX0T,Buffalo Lake N.W.R.,34.8667,-102.1333,62,4.7692,,
BCDU,Duncan,48.7882,-123.6714,60,0.8054,,
UTFS,Fish Springs N.W.R.,39.8107,-113.3990,60,6.6667,,
NMLO,Loving,32.2910,-104.0667,58,2.0714,,
AZ0Z,Kayenta,36.6500,-111.2667,57,3.5625,,
OKTU,Tulsa,36.3221,-95.9022,57,0.3883,,
WASD,Sequim-Dungeness,48.1000,-123.0667,56,0.5437,,
SCCA,Charleston,32.9333,-79.7000,55,0.6962,,
NYSM,L.I.: Smithtown,40.9133,-73.1386,53,1.0192,,
TXOR,Old River,29.8776,-94.7263,53,1.5143,,
ORDA,Dallas,44.8965,-123.3384,52,0.5306,,
NVRL,Ruby Lake,40.2000,-115.5000,51,5.6667,,
OREU,Eugene,44.0768,-123.1790,51,0.2655,,
CASF,San Francisco,37.7143,-122.4689,51,0.3067,,
CAAN,Año Nuevo,37.2147,-122.3182,51,0.3377,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,50,0.5405,,
BCLA,Ladner,49.0538,-123.0573,49,0.2899,,
MOMI,Mingo N.W.R.,36.9833,-90.2000,49,0.9193,,
KYLE,Lexington,37.9227,-84.4719,48,0.8276,,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,47,0.9021,,
NYCA,L.I.: Captree,40.7038,-73.2493,45,0.3409,,
PAGL,Delaware County (Glenolden),39.8992,-75.3729,45,0.2586,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,45,0.5696,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,45,0.7627,,
NYSN,L.I.: Southern Nassau County,40.6298,-73.5907,43,0.2739,,
FLKV,Kissimmee Valley,28.2062,-81.3936,42,0.4565,,
COBO,Boulder,40.0256,-105.2725,41,0.1331,,
NMLL,La Luz-Otero County,33.0000,-105.9600,41,0.9111,,
ORPO,Port Orford,42.8196,-124.4828,40,0.7619,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,39,0.2786,,
TXPM,Palmetto S.P.,29.5833,-97.5833,39,0.4457,,
ORSA,Salem,44.9437,-123.0388,38,0.2784,,
BCCH,Chilliwack,49.1113,-121.9436,38,0.6032,,
AZGR,Gila River,33.3071,-112.6833,38,0.2754,,
TXGC,Gibbons Creek,30.5833,-96.0000,38,0.5149,,
AZNO,Nogales,31.4338,-110.9358,37,0.5781,,
LA0P,New Orleans,29.9667,-89.9833,36,0.3711,,
NYNN,L.I.: Northern Nassau County,40.8660,-73.5938,35,0.1795,,
CAAG,Angwin,38.5715,-122.3977,34,0.4121,,
BCVA,Vancouver,49.2603,-123.1050,31,0.0912,,
TXAB,Abilene,32.3501,-99.7502,31,0.7045,,
OHGY,Gypsum,41.5000,-82.8667,31,0.8378,,
COFC,Fort Collins,40.6454,-105.1141,30,0.2985,,
MSJA,Jackson,32.4476,-90.0040,30,0.4167,,
WASJ,San Juan Islands Archipelago,48.5462,-123.0130,29,0.2407,,
TXWA,Waco,31.5194,-97.0451,29,0.4715,,
TXBU,Bell County,30.9667,-97.4500,29,0.7733,,
SC08,Santee N.W.R.,33.4833,-80.3667,28,0.6829,,
FLSM,St. Marks,30.1536,-84.2227,28,0.3415,,
CABB,Big Bear Lake,34.2833,-116.9000,28,0.8889,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,28,0.4912,,
ORRS,Roseburg-Sutherlin,43.3177,-123.3473,27,0.3913,,
ORTB,Tillamook Bay,45.5167,-123.8833,27,0.3293,,
ORCO,Corvallis,44.5071,-123.2695,27,0.2755,,
VACC,Cape Charles,37.1899,-75.9410,26,0.1226,,
TXRU,Ruidosa,29.9500,-104.6667,25,1.1364,,
OK0E,Sequoyah N.W.R.,35.4333,-95.0167,25,0.6098,,
MSGR,Grenada,33.8051,-89.7016,25,1.0000,,
CAOR,Oroville,39.5178,-121.5499,25,0.5556,,
NJLA,Lakehurst,40.0159,-74.1451,24,0.3038,,
TXWF,Wichita Falls,33.8877,-98.6298,24,0.7273,,
FLJA,Jacksonville,30.4152,-81.4877,24,0.1951,,
DCDC,Washington,38.8674,-77.0685,23,0.0899,,
WAPT,Port Townsend,48.0500,-122.7333,23,0.3846,,
BCNN,Nanaimo,49.1668,-123.9333,22,0.5057,,
TXPA,Port Aransas,27.8502,-97.1000,22,0.5238,,
ORME,Medford,42.4026,-122.8559,21,0.1692,,
WAOL,Olympia,47.0722,-122.8533,21,0.2593,,
FLDC,Dade County,25.8402,-80.1883,21,0.2500,,
ARWR,White River N.W.R.,34.3146,-91.1210,20,0.4255,,
ORFL,Florence,44.0334,-124.0667,19,0.1801,,
AZJE,Jerome,34.7398,-112.1238,19,0.2815,,
AZBA,Buenos Aires N.W.R.,31.5667,-111.4500,19,0.2794,,
HIWO,O'ahu: Waipi'o,21.4618,-158.0128,19,0.3958,,
CAFR,Fall River Mills,41.0616,-121.4899,19,0.3689,,
GAAU,Augusta,33.4393,-82.0239,19,0.5352,,
OR0H,Forest Grove,45.4667,-123.1333,18,0.3051,,
NMLA,Lakes Avalon-Brantley,32.5661,-104.2940,17,0.5667,,
MDOC,Ocean City,38.3128,-75.2122,16,0.0941,,
KSQU,Quivira N.W.R.,38.1500,-98.4833,16,0.6531,,
WAEA,East Lake Washington,47.5899,-121.9995,16,0.3333,,
TNCO,Columbia,35.5990,-87.1613,16,0.3299,,
ONTO,Toronto,43.7086,-79.4104,16,0.1404,,
WACC,Cowlitz-Columbia,46.1092,-122.9787,15,0.3448,,
OKOC,Oklahoma City,35.5368,-97.5834,15,0.1705,,
WA0H,Edmonds,47.8667,-122.2500,15,0.4249,,
OKSP,Salt Plains N.W.R.,36.7850,-98.1789,14,0.3500,,
CA06,Escondido,33.1167,-116.9333,14,0.1628,,
AZSC,Santa Catalina Mountains,32.3353,-110.7295,14,0.1429,,
IDNA,Nampa,43.5680,-116.6729,14,0.3139,,
ONHA,Hamilton,43.2679,-79.8852,14,0.0769,,
UTOG,Ogden,41.2198,-112.0640,13,0.2453,,
NJHR,Hackensack-Ridgewood,40.9351,-74.0292,13,0.1557,,
VALC,Little Creek,36.8508,-76.0994,13,0.1340,,
COCS,Colorado Springs,38.8022,-104.8167,12,0.0784,,
DERE,Rehoboth,38.6035,-75.1073,12,0.2303,,
KSEM,Emporia,38.4456,-96.0835,12,0.1875,,
CAUK,Ukiah,39.1386,-123.1660,12,0.2330,,
MSSH,Southern Hancock County,30.2906,-89.5034,12,0.2162,,
OKNO,Norman,35.2655,-97.3767,12,0.1622,,
MSNA,Natchez,31.6167,-91.3792,11,0.2588,,
TXDR,Del Rio,29.4651,-100.9585,11,0.2821,,
WATC,Tri-Cities,46.2357,-119.1805,11,0.1467,,
LA0Y,St. Tammany Parish,30.4333,-90.0833,11,0.1429,,
ILCR,Calumet City-Sand Ridge,41.6155,-87.5395,10,0.1041,,
TNRL,Reelfoot Lake,36.4167,-89.3833,10,0.2273,,
NMCA,Caballo,32.9530,-107.3122,10,0.2703,,
TNCC,Cross Creeks N.W.R.,36.4760,-87.7528,10,0.2041,,
FLBO,Brooksville,28.5480,-82.3245,10,0.1220,,
KSLA,Lawrence,38.9933,-95.3111,9,0.1023,,
TXSC,Spring Creek,30.1268,-95.4432,9,0.1364,,
FLEC,Econlockhatchee,28.7094,-81.1467,9,0.0692,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,9,0.0789,,
AZCV,Camp Verde,34.5873,-111.7545,9,0.1146,,
TXBA,Balmorhea,30.9858,-103.7459,9,0.5000,,
MSJC,Jackson County,30.4366,-88.7119,9,0.1146,,
KS1D,Pomona Reservoir,38.6833,-95.6833,8,0.2712,,
WAKC,Kitsap County,47.6323,-122.6609,8,0.0812,,
BCMA,Greater Masset,54.0464,-132.1903,8,0.1481,,
BCCR,Campbell River,49.9666,-125.2088,8,0.1441,,
ORCE,Columbia Estuary,46.2192,-123.9461,8,0.1818,,
CODE,Denver,39.5870,-105.1430,7,0.0302,,
AZFL,Flagstaff-Mt. Elden,35.2410,-111.5976,7,0.4000,,
AZ18,Salt-Verde Rivers,33.5500,-111.7333,7,0.0245,,
WAPB,Padilla Bay,48.4834,-122.5667,7,0.0686,,
MDRR,Rock Run,39.6041,-76.1670,7,0.0680,,
LADA,D'Arbonne,32.6583,-92.2410,7,0.0853,,
GAMA,Macon,32.8321,-83.6663,6,0.1020,,
AL0H,Waterloo,34.8500,-88.0000,6,0.0940,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,6,0.0723,,
CAHO,Hollister,36.8000,-121.3667,6,0.1143,,
FLCB,Choctawhatchee Bay,30.4462,-86.5182,6,0.0483,,
ILHL,Horseshoe Lake,37.2089,-89.3311,6,0.0784,,
WAGH,Grays Harbor,46.9667,-124.0500,6,0.0588,,
NYBR,L.I.: Brooklyn,40.6160,-73.9448,6,0.0545,,
NMLC,Las Cruces,32.3000,-106.7167,6,0.1017,,
CABA,Bakersfield,35.4311,-118.9173,6,0.1217,,
NMBL,Bluewater Lake,35.2579,-108.1027,6,0.0902,,
ORMA,Malheur N.W.R.,42.8998,-118.8798,6,0.2000,,
BCCO,Comox,49.6726,-124.9287,6,0.0625,,
ORYB,Yaquina Bay,44.5866,-124.0642,6,0.1463,,
CAMU,Malibu,34.0822,-118.7045,5,0.0223,,
NJRA,Ramsey,41.0935,-74.2541,5,0.0568,,
GAPC,Peachtree City,33.3468,-84.6231,5,0.0481,,
CACO,Chico,39.7220,-121.8238,5,0.0862,,
CAPS,Pasadena-San Gabriel Valley,34.1199,-118.0913,5,0.0311,,
FLNP,North Pinellas,28.0672,-82.7388,5,0.0581,,
CAKA,Kaweah,36.3667,-119.0667,5,0.0722,,
TXPP,Palo Pinto,32.7578,-98.2933,4,0.1096,,
ALGS,Gulf Shores,30.3167,-87.6333,4,0.0200,,
CAPC,Putah Creek,38.4810,-122.0306,4,0.0300,,
CALH,Lake Henshaw,33.2112,-116.7255,4,0.0264,,
NYCS,L.I.: Central Suffolk County,40.8333,-72.7838,4,0.0252,,
UTKA,Kanab,37.0334,-112.5167,4,0.0755,,
TXLR,Lake Ray Hubbard,32.9296,-96.5363,4,0.0860,,
UTSG,St. George,37.1500,-113.6000,4,0.0593,,
NMZU,Zuni,35.0333,-108.8167,3,0.0470,,
FLPS,Port St. Joe,29.7703,-85.2986,3,0.0714,,
OHCL,Cleveland,41.5723,-81.5039,3,0.0246,,
CASC,Santa Cruz County,37.0162,-122.0499,3,0.0209,,
LABR,Baton Rouge,30.3661,-91.1194,3,0.0475,,
CASO,San Bernardino Valley,34.0852,-117.3010,3,0.0448,,
NJPR,Princeton,40.3410,-74.6649,3,0.0204,,
WVCT,Charles Town,39.3319,-77.8512,3,0.0355,,
CACM,Claremont,34.1384,-117.7073,3,0.0333,,
ONNF,Niagara Falls,43.1667,-79.0667,3,0.0297,,
MOTR,Trimble,39.4725,-94.5647,3,0.0783,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,3,0.0410,,
NCPE,Pettigrew S.P.,35.7667,-76.4500,3,0.0769,,
LALA,Lafayette,30.1901,-92.1042,3,0.0484,,
VARC,Rockingham County,38.4318,-79.0394,3,0.0536,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,3,0.0288,,
TXBO,Boerne,29.8666,-98.7901,3,0.0432,,
ORUC,Union County,45.2500,-117.8833,3,0.0667,,
LAGI,Grand Isle,29.1996,-90.0458,3,0.1034,,
AZAH,Atascosa Highlands,31.4701,-111.1728,2,0.0205,,
TXCR,Crawford,31.5560,-97.3556,2,0.0318,,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,2,0.0288,,
INWG,Western Gibson County,38.3406,-87.7807,2,0.0392,,
BCOO,Oliver-Osoyoos,49.0787,-119.5164,2,0.0230,,
FL13,New Port Richey,28.2500,-82.7000,2,0.0260,,
CALL,Lost Lake-Fresno,36.9500,-119.7000,2,0.0256,,
ILPR,Princeton,41.3167,-89.3833,2,0.0667,,
TXHU,Huntsville,30.7156,-95.5520,2,0.0784,,
VAAC,Augusta County,38.2046,-78.9913,2,0.0242,,
CA23,Caswell-Westley,37.6333,-121.2000,2,0.0370,,
FLSP,St. Petersburg,27.7991,-82.6794,2,0.0250,,
IDTF,Twin Falls,42.5565,-114.4635,2,0.0625,,
NCMC,Morehead City,34.7590,-76.7094,2,0.0187,,
NCRA,Raleigh,35.7622,-78.6593,2,0.0215,,
OKSC,Stephens County,34.5667,-97.7833,2,0.0345,,
OKST,Stillwater,36.1452,-97.1765,2,0.0360,,
MIAB,Anchor Bay,42.6273,-82.6647,2,0.0221,,
NJTM,Trenton Marshes,40.1918,-74.7276,2,0.0261,,
OH0E,Logan,39.4833,-82.3667,2,0.0351,,
CALE,Lewiston,40.7167,-122.7500,2,0.0816,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,2,0.1176,,
INRI,Richmond,39.8289,-84.9560,2,0.0769,,
NJMA,Marmora,39.2647,-74.6472,2,0.0208,,
BCDB,Deep Bay,49.4657,-124.7362,2,0.0625,,
WIPL,Plymouth,43.7621,-88.0020,2,0.0816,,
CAMP,Monterey Peninsula,36.5620,-121.8776,2,0.0133,,
CALR,Lake Almanor,40.2833,-121.2500,2,0.0430,,
LARB,Reserve-Bonnet Carre Spillway,30.0867,-90.4711,2,0.0188,,
MSVI,Vicksburg,32.3108,-90.9068,2,0.0336,,
MOML,Montrose Lake Wildlife Area,38.2521,-93.8217,2,0.0289,,
FLGA,Gainesville,29.6027,-82.3127,2,0.0132,,
IA19,DeSoto N.W.R.,41.4833,-96.0000,2,0.0357,,
CAPP,Palos Verdes Peninsula,33.7723,-118.3279,2,0.0158,,
NYCH,Conesus-Hemlock-Honeoye Lakes,42.7776,-77.6161,2,0.0154,,
MAPL,Plymouth,41.8733,-70.6012,1,0.0217,,
MAMV,Martha's Vineyard,41.3571,-70.5207,1,0.0109,,
AZPA,Patagonia,31.4833,-110.6833,1,0.0134,,
TX20,Armand Bayou,29.5500,-95.0667,1,0.0118,,
CAMH,Mount Hamilton,37.3719,-121.5228,1,0.0138,,
NJRE,Raritan Estuary,40.5167,-74.3500,1,0.0066,,
ARFA,Fayetteville,36.0566,-94.1719,1,0.0155,,
ILCO,Crab Orchard N.W.R.,37.7196,-89.0212,1,0.0119,,
IASH,Shenandoah,40.7211,-95.4809,1,0.0308,,
VISC,"St. Croix, USVI",17.7168,-64.7833,1,0.0364,"HC, ",
AKNC,Narrow Cape-Kalsin Bay,57.5226,-152.3081,1,0.0333,,
MEBK,Biddeford-Kennebunkport,43.4434,-70.4788,1,0.0159,,
OKAC,Arcadia,35.5667,-97.2167,1,0.0145,,
SDRC,Rapid City,44.0769,-103.2472,1,0.0125,,
TNHI,Hiwassee,35.3655,-84.9200,1,0.0137,,
ON0J,Woodhouse,42.8667,-80.2167,1,0.0083,,
ILEN,Evanston (north shore),42.1379,-87.7882,1,0.0057,,
TXAM,Amarillo,34.9851,-101.7021,1,0.0476,,
NJGS,Great Swamp-Watchung Ridges,40.6983,-74.4017,1,0.0079,,
ILPE,Peoria,40.6999,-89.6202,1,0.0116,,
TNCH,Chattanooga,35.1040,-85.2292,1,0.0091,,
ILCA,Chautauqua N.W.R.,40.4167,-89.9500,1,0.0134,,
COGR,Greeley,40.3936,-104.6801,1,0.0185,,
AKJU,Juneau,58.3167,-134.5500,1,0.0420,,
AKHO,Homer,59.6336,-151.4896,1,0.0357,,
ILCU,Chicago (urban),41.9099,-87.7263,1,0.0130,,
MASP,Springfield,42.1294,-72.5089,1,0.0089,,
TXTR,Trinidad,32.1500,-96.1000,1,0.1250,,
MIAG,Allegan State Game Area,42.5498,-86.0054,1,0.0218,,
MANA,Nantucket,41.2901,-70.0901,1,0.0101,,
DESN,Seaford-Nanticoke,38.5845,-75.5739,1,0.0179,,
MDPT,Port Tobacco,38.4833,-77.0333,1,0.0130,,
FLPB,Perdido Bay,30.3333,-87.3667,1,0.0093,,
MABB,Buzzards Bay,41.6517,-70.6206,1,0.0111,,
CAMM,Mammoth Lakes,37.6333,-118.8667,1,0.0833,,
AZPO,Portal,31.9009,-109.1364,1,0.0078,,
FLLA,Lakeland,28.0261,-81.8507,1,0.0082,,
TXLL,Lake Livingston (lower),30.7167,-95.0833,1,0.0376,,
SDMA,Madison,43.9560,-97.0999,1,0.0625,,
IL1N,Chillicothe,40.9000,-89.4833,1,0.0117,,
CTNH,New Haven,41.3007,-72.9323,1,0.0074,,
NJSU,Sussex County,41.1186,-74.6385,1,0.0169,,
CNSA,"Saipan, C.N.M.I.",15.1991,145.7506,1,0.0667,,
CAWB,Wallace-Bellota,38.1167,-120.9833,1,0.0120,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,1,0.0196,,
NYMK,L.I.: Montauk,41.0500,-72.0000,1,0.0060,,
ARCO,Conway,35.0916,-92.4227,cw,0.0000,,
KSJC,Junction City,39.0006,-96.8813,cw,0.0000,,

