Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
CAPV,Peace Valley,39.1982,-121.8219,64552,763.9290,,
CATL,Tule Lake,41.9465,-121.5390,27500,723.6842,,
CAPA,Palo Alto,37.4064,-122.1559,14551,46.1937,,
CAHF,Hayward-Fremont,37.6068,-122.0667,13285,71.0428,,
CALS,Los Baños,37.0612,-120.8849,11619,174.7218,,
TXCY,Cypress Creek,29.9561,-95.8900,10630,143.6486,,
CASS,Salton Sea (south),33.1579,-115.6132,6900,191.6667,,
CA1B,China Lake,35.6167,-117.6667,6178,166.9730,,
LA0K,Sabine N.W.R.,29.8000,-93.4500,5091,19.3869,,
CALN,Lancaster,34.7043,-118.0860,3646,63.4087,,
CASA,Santa Ana River Valley,33.9068,-117.4889,3400,60.1770,,
TXBP,Bolivar Peninsula,29.5504,-94.4668,3075,44.2446,,
TXFR,Freeport,29.0172,-95.3551,3032,8.4222,,
TXST,San Antonio,29.3148,-98.6080,2945,20.7394,,
MSWC,Washington County (south),33.0970,-90.9857,2894,42.8741,,
TX0M,Lubbock County,33.5500,-101.7500,2674,68.5641,,
CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,2632,22.8870,,
CASJ,San Jose,37.4033,-121.8821,2257,7.7667,,
CABE,Benicia,38.1143,-122.1094,1882,12.1185,,
CACC,Contra Costa County,37.9538,-121.9923,1678,10.2945,,
CARS,Rancho Santa Fe,33.0003,-117.1628,1610,16.7708,,
COBL,Barr Lake,39.9721,-104.6955,1500,42.2535,,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,1438,23.6513,,
CA2K,Arroyo Cheap Thrills,38.1333,-122.6167,1280,9.5665,,
WATA,Tacoma,47.2335,-122.5167,1267,9.8907,,
CAOC,Orange County (coastal),33.6725,-117.9453,1096,5.5975,,
LACR,Creole,29.8159,-93.1113,1023,11.6648,,
AZRC,Ramsey Canyon,31.4599,-110.2068,1013,10.1300,,
MXMC,"Mexico City, Distrito Federal, Mexico",19.2333,-99.1833,960,40.0000,,
TXAU,Austin,30.1834,-97.6980,914,6.2603,,
NMRO,Roswell,33.3970,-104.3983,872,14.5333,,
NCBP,Bodie-Pea Island,35.7824,-75.5458,858,8.6667,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,815,17.7174,,
TXCT,Coastal Tip,26.0278,-97.2334,770,12.3200,,
CASL,San Jacinto Lake,33.8745,-117.1239,754,8.0213,,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,750,62.5000,,
TX1E,Padre Island National Seashore,27.3333,-97.3333,551,11.6000,,
CA0Z,Ventura,34.3500,-119.2500,548,3.9340,,
AZTV,Tucson Valley,32.3016,-110.9735,545,3.8652,,
CA2L,Point Reyes Peninsula,38.1333,-122.8833,526,1.5796,,
TXHO,Houston,29.7497,-94.9492,502,6.1975,,
CA1S,Arcata,40.8500,-124.1667,494,2.5204,,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,491,26.5405,,
ORKF,Klamath Falls,42.1595,-121.7351,489,8.5789,,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,476,6.8000,,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,454,5.2064,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,453,2.4890,,
LAJB,Johnsons Bayou,29.8010,-93.7149,444,3.3893,,
NVFA,Fallon,39.3965,-118.7730,440,12.2222,,
CACL,Clear Lake,38.9392,-122.7199,420,5.5263,,
TXMI,Midland,31.9500,-102.0333,419,6.7581,,
CACS,Crystal Springs,37.5184,-122.3751,394,1.9126,,
NYQU,L.I.: Queens,40.6932,-73.7448,382,3.2236,,
LACA,Catahoula N.W.R.,31.5080,-92.0589,377,3.2926,,
NJOC,Oceanville,39.4422,-74.4605,355,3.3810,,
CAMC,Marin County (southern),37.9214,-122.5643,337,1.0732,,
TXCC,Corpus Christi,27.8334,-97.5833,328,3.4167,,
CAMD,Moss Landing,36.8970,-121.7407,306,1.5855,,
LA0F,Rockefeller State Wildlife Refuge,29.7167,-92.7833,305,7.4755,,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,300,5.7692,,
MSHA,Hattiesburg,31.3073,-89.3166,300,6.0606,,
WAKA,Kent-Auburn,47.3598,-122.1787,293,1.9797,,
CASB,Santa Barbara,34.4512,-119.7627,293,0.9099,,
ORSI,Sauvie Island,45.7562,-122.8008,285,3.3333,,
CASR,Santa Rosa,38.4379,-122.7116,277,2.4129,,
CASD,San Diego,32.6473,-117.1170,262,2.1833,,
FLTA,Tampa,28.0107,-82.4595,258,2.2032,,
TXKI,Kingsville,27.4658,-97.8551,250,3.7994,,
WASE,Seattle,47.6017,-122.3341,239,1.5223,,
CAST,Stockton,38.1160,-121.3954,230,1.7037,,
TXGA,Galveston,29.3333,-94.8333,230,2.0628,,
CA1G,Creighton Ranch Preserve,36.1167,-119.5333,209,5.5585,,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,205,1.1582,,
TXBV,Brownsville,25.9328,-97.4748,203,3.2742,,
WA0N,Skagit Bay,48.2667,-122.5000,195,3.5780,,
NY2R,Lower Hudson,40.7667,-73.9833,193,0.8391,,
CASM,Sacramento,38.6000,-121.5500,187,0.8202,,
CAMR,Morro Bay,35.3000,-120.7767,186,0.9347,,
FLCO,Cocoa,28.3622,-80.7026,183,1.0517,,
NMFA,Farmington,36.7833,-108.1020,178,6.8462,,
CAOA,Oakland,37.8146,-122.2330,177,0.5798,,
WA0M,Everett,48.1500,-122.2333,175,3.6082,,
AZPR,Prescott,34.5419,-112.4701,169,1.4202,,
CACB,Centerville Beach to King Salmon,40.6420,-124.2428,164,0.8376,,
TXBZ,Brazos Bend,29.3734,-95.6688,163,0.9477,,
TXEP,El Paso,31.7828,-106.4798,153,2.2500,,
TXSG,San Angelo,31.4439,-100.4823,152,3.8000,,
TXDA,Dallas County,32.8258,-96.8312,151,0.9096,,
IDHV,Hagerman Valley,42.8167,-114.9000,140,0.0000,,
ORCB,Coos Bay,43.3759,-124.2973,138,1.8449,,
TX13,Laguna Atascosa N.W.R.,26.2333,-97.3500,137,2.0916,,
