Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
ORCE,Columbia Estuary,46.2192,-123.9461,127,3.8485,,
CAES,Escondido,33.1025,-116.9403,127,0.9270,,
BCLA,Ladner,49.0538,-123.0573,126,0.7910,,
WATA,Tacoma,47.2335,-122.5167,124,1.0394,,
NMLV,Las Vegas,35.5950,-105.2152,120,6.0000,,
CAMS,Mount Shasta,41.5342,-122.4141,119,1.9833,,
NJHR,Hackensack-Ridgewood,40.9351,-74.0292,117,1.3146,,
TXNA,Nacogdoches,31.5332,-94.6563,116,1.0995,,
CAMD,Moss Landing,36.8970,-121.7407,111,0.5388,,
NVHE,Henderson,36.0833,-114.9500,110,3.1792,,
COFC,Fort Collins,40.6454,-105.1141,110,1.3924,,
CATO,Thousand Oaks,34.1489,-118.9699,108,1.3935,,
MSJA,Jackson,32.4476,-90.0040,104,1.6640,,
MSGR,Grenada,33.8051,-89.7016,102,2.2174,,
TXBS,Big Spring,32.2391,-101.4162,99,3.8077,,
CA2L,Point Reyes Peninsula,38.1333,-122.8833,97,0.3031,,
LAPP,Pine Prairie,30.7643,-92.3765,94,1.4351,,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,92,2.7463,,
TXSN,Stanton,32.0833,-101.7000,91,4.3333,,
CASB,Santa Barbara,34.4512,-119.7627,86,0.2598,,
NMZU,Zuni,35.0333,-108.8167,86,0.9851,,
AZNO,Nogales,31.4338,-110.9358,86,1.5221,,
TXCT,Coastal Tip,26.0278,-97.2334,82,1.9249,,
BCVA,Vancouver,49.2603,-123.1050,82,0.2045,,
TXPA,Port Aransas,27.8502,-97.1000,80,1.2739,,
TXFW,Fort Worth,32.7661,-97.4715,80,0.7685,,
IDBR,Bruneau,42.9252,-115.8580,79,2.6333,,
CAAG,Angwin,38.5715,-122.3977,75,0.8571,,
MDOC,Ocean City,38.3128,-75.2122,75,0.3807,,
ORGP,Grants Pass,42.4186,-123.3669,74,0.7327,,
UTFS,Fish Springs N.W.R.,39.8107,-113.3990,73,6.6364,,
TXSG,San Angelo,31.4439,-100.4823,72,1.7143,,
TX10,Brownsville,25.9333,-97.4500,69,1.0299,,
WACC,Cowlitz-Columbia,46.1092,-122.9787,69,1.4375,,
CA0Z,Ventura,34.3500,-119.2500,66,0.4097,,
WASB,Skagit Bay,48.2973,-122.3879,66,0.5523,,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,65,1.0833,,
CAKA,Kaweah,36.3667,-119.0667,65,1.3320,,
SC08,Santee N.W.R.,33.4833,-80.3667,65,1.8056,,
AZPR,Prescott,34.5419,-112.4701,64,0.4491,,
TXAM,Amarillo,34.9851,-101.7021,60,3.4286,,
CAPS,Pasadena-San Gabriel Valley,34.1199,-118.0913,60,0.4444,,
CAGM,Grass Mountain,34.6333,-118.4167,60,1.2121,,
NYSN,L.I.: Southern Nassau County,40.6298,-73.5907,60,0.3409,,
VACC,Cape Charles,37.1899,-75.9410,60,0.3922,,
VABB,Back Bay N.W.R.,36.6500,-76.0000,58,0.4427,,
WASJ,San Juan Islands Archipelago,48.5462,-123.0130,58,0.5812,,
TX1E,Padre Island National Seashore,27.3333,-97.3333,58,1.8831,,
CADN,Del Norte County,41.8446,-124.1712,56,0.5385,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,56,0.3733,,
NVFA,Fallon,39.3965,-118.7730,55,0.9649,,
BCVI,Victoria,48.4667,-123.4000,54,0.1812,,
VALC,Little Creek,36.8508,-76.0994,53,0.4380,,
